,kecamatan,latitude,longitude,distance_gerbangtol,distance_school,distance_hospital,distance_tokoobat
0,Citraland,-7.2777318,112.6470075,5.59124014509983,0.3943159800372266,1.31091382873773,1.2409179230843002
1,Graha,-7.2965741,112.6760119,6.447477745962979,0.5454508980370758,1.5662730535732916,1.245208906946844
2,Rungkut,-7.3221655,112.7810999,3.410477672222269,0.7804249565874486,0.5338878144823194,1.7799629845215026
3,Wiyung,-7.3116072,112.6878768,4.293970290523403,0.0730300822231152,0.2021523252062294,0.7708380990726335
4,Pakuwon City,-7.2799289,112.8060824,8.756687782226614,1.7749213101436887,1.8724117731977932,1.0062538050528995
5,Wonocolo,-7.317022300000001,112.7376862,3.08976242218169,0.8186275275525418,0.8186666579519133,0.8289941527397505
6,Gununganyar,-7.3386128,112.7681726,1.1982242019406957,1.3770936066100257,1.4781553813224375,0.679152524196762
7,Medokan Ayu,-7.326097099999999,112.8135304,3.641723993952258,1.1417974003279292,1.991837868889703,1.1303348879823842
8,Manyar,-7.281974300000001,112.767352,7.842497159528762,1.739774348658247,0.99811754837527,0.8246648333697757
9,Kedung Baruk,-7.317924699999999,112.7777795,3.5046280899242324,1.4073456786684306,0.8185160356690574,1.90249361111056
10,Nginden,-7.303449099999999,112.7658623,5.724056815996914,1.294372810448803,1.5386590420474564,0.5340793795834633
11,Ketintang,-7.3154135,112.7301098,3.2918325637749377,0.7436495871089518,1.089306919458484,1.671414830742134
12,Pakuwon Indah,-7.2925034,112.673905,6.012339775936452,0.3513067964116343,0.983752578414812,1.0637081071351833
13,Kenjeran,-7.221841,112.7685418,6.607588784404877,0.3626057951745721,0.211314445088445,0.8150903976818824
14,Sukolilo,-7.300827399999999,112.7792388,5.2045672271847625,0.9810941882498428,1.1613802633300123,0.6358607848099466
15,Babatan,-7.307855999999999,112.6824377,5.000685793229093,0.2341213646416535,0.5110924802367219,0.2905113330423893
16,Sukomanunggal,-7.268923,112.6934576,3.72755420195492,1.346961997920962,0.314471772631176,0.8992190448639723
17,Mulyorejo,-7.2633794,112.7830675,10.491458879736316,1.4597196457372814,0.7442068506621147,1.903165803200885
18,Wonorejo,-7.2712738,112.7315995,3.9385921158452057,1.6449507512916164,0.653140552542594,1.215878866864004
19,Karangpilang,-7.3336026,112.7028976,1.3781145355758064,1.353844527478216,1.3502262441226662,0.2389118660693329
20,Surabaya Kota,-7.2574719,112.7520883,4.753903959609631,1.2752701133236823,0.8527415597462338,0.9787050892366246
21,Tidar,-7.2569991,112.7243574,2.182121328395316,1.2445572205597215,0.9106811167449888,0.7640216962972203
22,Raya Darmo,-7.287962,112.7393952,6.324903381278502,0.9464336438778632,0.1180954418560833,1.7455183945550283
23,Darmo permai,-7.2856742,112.7006524,5.751048843573865,1.9952446893006988,0.8598100534450928,0.7683334436086822
24,Dukuh Pakis,-7.281221500000001,112.68464,4.774294468945806,0.4347840907727737,1.5650983786643513,0.2564350115523544
25,Sambikerep,-7.2742866,112.6535713,4.848478937644363,0.2802862521484123,1.411130432165847,1.5420921835252694
26,Mulyosari,-7.2660835,112.7960405,11.046322084717064,0.2127460542557925,1.1536621608445958,0.067099589285158
27,Krembangan,-7.238383900000001,112.7311902,2.140828724198735,0.678780429490449,1.4521826120480503,0.8035864898995736
28,Wisata Bukit Mas,-7.315049600000001,112.6708716,5.455096163725899,0.9471170424027332,0.6806892499339307,0.9862905631310406
29,Menganti,-7.2940226,112.5879679,11.769971852522763,0.3169283963164367,0.796991419958914,0.1313337429896924
30,Pakuwon,-7.289141399999999,112.6757233,5.624075076223236,1.6429479548414767,0.7729282023909728,0.9000535524088807
31,Benowo,-7.250728899999999,112.6460927,3.8613819954886006,0.6480400725649401,0.0482469636934766,0.4623337747989803
32,Pakal,-7.235684299999999,112.6085386,5.5787072679452265,0.1941309482424029,0.4757727088878637,0.904210932647763
33,Sawahan,-7.269309299999999,112.7167191,3.120707004252256,0.7922644726448975,1.0677490537822616,0.4621162723442648
34,Keputih,-7.2881839,112.8165095,8.843249624517078,1.0581595082837347,,1.521484739524805
35,Sutorejo,-7.2605886,112.7911863,11.230352102492924,0.9427508544578316,1.1322118067783349,0.5769684473490967
36,Rungkut Industri,-7.3351541,112.7648845,1.1217469969270997,1.8832752458056807,1.6921943290677404,0.5213082987314147
37,Tambaksari,-7.2511189,112.7676174,6.218587440000404,1.7000251536846605,0.3614270542270073,0.5461218705146027
38,Tenggilis Mejoyo,-7.320366299999999,112.757987,2.481241523295516,0.4608228500420374,1.240447093588932,0.2103971164520909
39,Gubeng,-7.278219,112.7558887,7.746496010126716,0.6510945724104426,1.5210345269626124,0.2863379088141045
40,Tandes,-7.2572513,112.6685428,2.3626439558753747,1.682324480915644,0.267434425050998,0.4971409571313432
41,Galaxy,-7.274697799999998,112.7821739,9.373620571027423,1.6506585675337544,0.6240031418979788,0.8526019609749481
42,Dukuh Kupang,-7.282440200000001,112.7107433,6.001685534396211,0.8790539421683127,1.7896416516146534,1.5802398239356774
43,Gayungan,-7.332024,112.7256406,1.7273643168890578,0.6777298127506011,1.7271278022101708,0.9340619910059008
44,Kutisari,-7.334617400000001,112.7479862,1.8371443774054104,1.5597645512016989,0.2884345405077881,1.3970859634303323
45,Lakarsantri,-7.306182799999999,112.6614621,7.750873586403838,0.5012317487774629,0.7195697320369986,0.8546470579527264
46,Tegalsari,-7.275755600000001,112.7345509,4.533850276177663,0.9189826045057148,1.1073856064897238,1.1664080712447038
47,Mojoarum,-7.266515599999999,112.7765909,9.83802141926125,0.8820868462985514,0.9917975519012714,1.4827175311951404
48,Genteng,-7.258198900000001,112.7490697,4.479001818952018,1.486971673564339,0.7341096312504586,1.067901465665651
49,Kapasan,-7.2425008,112.7524553,4.456988597666237,0.7135302081904243,0.7237262820604727,0.7180911933267325
50,Dharma Husada,-7.255533600000001,112.6356218,5.131013398755719,0.3968359199755771,0.0,1.5616676543413526
51,HR Muhammad,-7.2848804,112.6946911,5.4257718293447805,1.3912321260017129,1.3077674699793485,0.6401406135094353
52,Wonokromo,-7.3007208,112.7397631,4.916571237587859,0.6132961019128151,0.8218997462886342,1.484037850616767
53,Semolowaru,-7.301480799999999,112.7792692,5.141223658703953,1.0355245714349206,1.2292679361308296,0.5913560167267404
54,kertajaya,-7.282603000000001,112.7554346,7.267206538404875,0.4010626325220894,1.1696251784483862,0.7759160587155285
55,Keputran,-7.2832314,112.7435171,6.898202601161952,1.414035212279649,0.6848511639488047,1.6116954574540263
56,Diponegoro,-7.2849863,112.7335375,6.636417700400364,1.5640463782078733,0.6081369203846531,1.1127155113180465
57,Mayjen Sungkono,-7.2914456,112.717254,2.287316961609517,0.3557496829658818,0.916722223445056,1.531317763947379
58,Dr Sutomo,-7.2798481,112.7360686,5.007526217323797,1.920326073174972,0.8821719211706327,1.2383100807648522
59,Petemon,-7.260652800000001,112.718192,2.0714821966693604,0.8507142791453761,1.3660340142831675,0.3392627259312685
60,Kupang,-7.273842499999999,112.72681,3.9343402001057104,0.7913773586405242,0.990684691433839,0.709045583941881
61,Kebonsari,-7.3276166,112.7137227,1.548497263847109,1.366055694508302,0.6732170280490446,0.2215383435397525
62,Kebraon,-7.3321059,112.700315,1.70453699888705,0.1649006758666684,1.451791257745555,0.0921852931139056
63,Jambangan,-7.324064999999999,112.7133309,1.939851111683785,1.2083882460031554,0.2886187581288165,0.2280718314619099
64,Lidah Kulon,-7.3040734,112.6586009,7.610771602733149,0.893531026197502,0.6217771858353466,0.6235501810906896
65,Ambengan,-7.255948,112.7487669,4.350883467856042,1.4529458480241884,0.4999839727614243,0.8316888379143308
66,Manukan,-7.259610499999999,112.66605,2.7276942402828848,1.5824693653443676,0.6062679698940817,0.7168546480482506
67,Waru,-7.3503078,112.7674661,1.33553541378506,1.518988003271069,0.3142554263236924,0.3142709289358609
68,Raya A Yani,-7.345586,112.7288694,0.6573595486389089,1.0208143260558364,0.901097434311668,0.922886506152895
69,Kendangsari,-7.325722,112.7494759,2.1125296630908186,0.6611926382769856,0.3941486971674842,0.4764595035834428
70,Laguna,-7.282387999999999,112.71589,6.346013332930718,0.6990402925984213,1.8304509844088523,1.0250184131796851
71,Lidah Wetan,-7.3034458,112.6705194,8.437363989412125,0.8042765687538702,1.0077108745003935,0.3393537912264057
72,Simomulyo,-7.266312200000001,112.706274,2.8180558955868267,1.1265470691087385,0.1317286624212875,1.2111693352710424
73,Balong Sari,-7.2545424,112.6787133,1.7659407689492883,0.8823553600260008,0.9032013981174352,0.8630034959229709
74,Pemuda,-7.2654674,112.7483789,4.803816336683158,1.689303768424984,1.0107697806258922,1.4076420545216557
75,Kedung Doro,-7.263567099999999,112.7345789,3.4816233713898,0.7358431801586125,0.3825739715242346,0.4698223703253035
76,Embong Kali,-7.391142499999999,112.6094358,4.407511392100453,0.335728387980132,1.0772190977482463,0.9615409659585328
77,Undaan,-7.251792,112.7446384,3.767181145876432,1.151021826600889,0.1615107893105653,0.7630060590405131
78,Jemursari,-7.3206466,112.7461118,2.948958451879735,0.8981320776980828,1.0652649225915949,0.1878213522500564
79,Margorejo,-7.316120899999999,112.7405377,3.236481976649253,1.6361375778957814,0.7653498307493737,0.6319165748664999
80,Ngagel,-7.287440099999999,112.7472413,6.509516307528169,1.0781794793136843,0.3496380887455672,1.1810441534155307
81,Panjang Jiwo,-7.3098224,112.7643726,5.066770120017938,1.7615971492757967,0.6009933247495798,0.7700336214171658
82,Pakis,-7.2855106,112.7241509,6.6799539332682,1.0013108214891464,1.295740571253153,0.6270847074863307
83,Middle East Ring Road,-7.2574719,112.7520883,4.753903959609631,1.2752701133236823,0.8527415597462338,0.9787050892366246
84,Perak,-7.2155387,112.7333273,3.730844430143034,0.1869977947330092,1.0621120897296612,1.6758017349949448
85,Banyu Urip,-7.2719005,112.7196817,3.469623072227545,1.2238937199085185,1.3529337604291507,0.4391358445717083
